readout,metric,point,ci_low,ci_high,worlds
dim_plus_nuisance_logistic,fit_order_canonical_evaluate_order_reversed_sign_balanced_accuracy,1.0,1.0,1.0,48
full_activation_logistic,macro_world_joint_binding_balanced_accuracy,0.9479166666666666,0.9166666666666666,0.9739583333333334,48
full_activation_logistic,joint_holder_target_relation_balanced_accuracy,1.0,1.0,1.0,48
full_activation_logistic,operator_sign_balanced_accuracy,1.0,1.0,1.0,48
full_activation_logistic,holder_swap_correct_rate,1.0,1.0,1.0,48
full_activation_logistic,target_swap_correct_rate,1.0,1.0,1.0,48
full_activation_logistic,same_context_two_query_sign_flip_correct_rate,1.0,1.0,1.0,48
full_activation_logistic,reporter_quoter_attribution_correct_rate,0.8541666666666666,0.7916666666666666,0.9166666666666666,48
full_activation_logistic,heldout_lexical_balanced_accuracy,1.0,1.0,1.0,48
full_activation_logistic,heldout_discourse_balanced_accuracy,0.8645833333333334,0.8020833333333334,0.9270833333333334,48
full_activation_logistic,heldout_domain_balanced_accuracy,1.0,1.0,1.0,24
full_activation_logistic,mapping_reversal_semantic_agreement,1.0,1.0,1.0,48
full_activation_logistic,false_binary_opposite_rate,0.0,0.0,0.0,48
full_activation_logistic,fit_canonical_supports_evaluate_alternate_supports_balanced_accuracy,1.0,1.0,1.0,48
full_activation_logistic,fit_order_canonical_evaluate_order_reversed_sign_balanced_accuracy,1.0,1.0,1.0,48
residual_activation_logistic,macro_world_joint_binding_balanced_accuracy,0.9401041666666666,0.9114583333333334,0.9661458333333334,48
residual_activation_logistic,joint_holder_target_relation_balanced_accuracy,0.9791666666666666,0.9583333333333334,0.9947916666666666,48
residual_activation_logistic,operator_sign_balanced_accuracy,0.7688568376068377,0.7364573317307692,0.8018836805555555,48
residual_activation_logistic,holder_swap_correct_rate,0.6666666666666666,0.5416666666666666,0.7916666666666666,48
residual_activation_logistic,target_swap_correct_rate,0.4375,0.2916666666666667,0.5833333333333334,48
residual_activation_logistic,same_context_two_query_sign_flip_correct_rate,0.5416666666666666,0.3958333333333333,0.6875,48
residual_activation_logistic,reporter_quoter_attribution_correct_rate,0.5,0.4270833333333333,0.5729166666666666,48
residual_activation_logistic,heldout_lexical_balanced_accuracy,0.9270833333333334,0.875,0.96875,48
residual_activation_logistic,heldout_discourse_balanced_accuracy,0.625,0.5625,0.6875,48
residual_activation_logistic,heldout_domain_balanced_accuracy,0.744017094017094,0.7059281517094017,0.7821314102564102,24
residual_activation_logistic,mapping_reversal_semantic_agreement,0.9166666666666666,0.8333333333333334,0.9791666666666666,48
residual_activation_logistic,false_binary_opposite_rate,0.0,0.0,0.0,48
residual_activation_logistic,fit_canonical_supports_evaluate_alternate_supports_balanced_accuracy,0.484375,0.3958333333333333,0.5677083333333334,48
residual_activation_logistic,fit_order_canonical_evaluate_order_reversed_sign_balanced_accuracy,0.5416666666666666,0.3958333333333333,0.6875,48
