model,candidate,family,site,lr,seed,epoch,strength,cal_score,cal_changed,cal_harm,cal_all_correct,fit_score,fit_loss,train_loss,saturation,realized_norm,visits,steps
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,1,0.5,0.062499999999999986,0.06944444444444443,0.006944444444444444,0.0,0.37760416666666663,0.5374394998943899,1.1020652668667026,0.7760416666666666,80.4414600001441,768,192
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,1,1.0,0.34027777777777785,0.7083333333333334,0.3680555555555555,0.041666666666666664,0.37760416666666663,0.5374394998943899,1.1020652668667026,0.7760416666666666,160.87456062104968,768,192
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,1,2.0,0.25694444444444453,0.7986111111111112,0.5416666666666666,0.0,0.37760416666666663,0.5374394998943899,1.1020652668667026,0.7760416666666666,321.77072472042505,768,192
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,2,0.5,0.06249999999999999,0.07638888888888888,0.013888888888888888,0.0,0.5208333333333334,0.46816000549976405,0.5525137507793261,1.0,80.43387717670865,1536,384
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,2,1.0,0.3541666666666665,0.7777777777777777,0.42361111111111116,0.125,0.5208333333333334,0.46816000549976405,0.5525137507793261,1.0,160.8840503692627,1536,384
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,2,2.0,0.25,0.8333333333333334,0.5833333333333334,0.041666666666666664,0.5208333333333334,0.46816000549976405,0.5525137507793261,1.0,321.76318475935193,1536,384
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,3,0.5,0.06249999999999999,0.07638888888888888,0.013888888888888888,0.0,0.5078125,0.4430369845986206,0.5011904263519682,1.0,80.45065858629015,2304,576
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,3,1.0,0.31249999999999994,0.6805555555555555,0.3680555555555555,0.041666666666666664,0.5078125,0.4430369845986206,0.5011904263519682,1.0,160.89038541581897,2304,576
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,3,2.0,0.20833333333333337,0.7083333333333334,0.5,0.0,0.5078125,0.4430369845986206,0.5011904263519682,1.0,321.75982581244574,2304,576
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,4,0.5,0.06249999999999999,0.07638888888888888,0.013888888888888888,0.0,0.5885416666666667,0.39212317549360404,0.45643281590309925,1.0,80.43850530518426,3072,768
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,4,1.0,0.37500000000000006,0.7222222222222222,0.34722222222222215,0.16666666666666666,0.5885416666666667,0.39212317549360404,0.45643281590309925,1.0,160.89090511533948,3072,768
gemma,LATE@27_lr0.0003_s0,LATE,27,0.0003,0,4,2.0,0.24305555555555552,0.6527777777777777,0.40972222222222215,0.0,0.5885416666666667,0.39212317549360404,0.45643281590309925,1.0,321.7586242887709,3072,768
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,1,0.5,0.04166666666666666,0.048611111111111105,0.006944444444444444,0.0,0.40625,0.5532948005420621,1.0563636433996635,0.7981770833333334,80.44436587227716,768,192
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,1,1.0,0.21527777777777773,0.5972222222222222,0.3819444444444445,0.0,0.40625,0.5532948005420621,1.0563636433996635,0.7981770833333334,160.8874110115899,768,192
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,1,2.0,0.1597222222222222,0.7013888888888888,0.5416666666666666,0.0,0.40625,0.5532948005420621,1.0563636433996635,0.7981770833333334,321.76143582661945,768,192
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,2,0.5,0.06944444444444445,0.08333333333333333,0.013888888888888888,0.0,0.43489583333333326,0.5024499888847155,0.5340198321937351,1.0,80.44248546494379,1536,384
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,2,1.0,0.2638888888888889,0.6666666666666666,0.40277777777777773,0.041666666666666664,0.43489583333333326,0.5024499888847155,0.5340198321937351,1.0,160.8850590917799,1536,384
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,2,2.0,0.1597222222222222,0.6875,0.5277777777777778,0.0,0.43489583333333326,0.5024499888847155,0.5340198321937351,1.0,321.765588760376,1536,384
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,3,0.5,0.05555555555555555,0.0625,0.006944444444444444,0.0,0.45052083333333326,0.4743268438949902,0.5062214124482125,1.0,80.44572281837463,2304,576
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,3,1.0,0.3402777777777778,0.5972222222222222,0.2569444444444444,0.041666666666666664,0.45052083333333326,0.4743268438949902,0.5062214124482125,1.0,160.8845731417338,2304,576
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,3,2.0,0.28472222222222215,0.7430555555555555,0.4583333333333333,0.041666666666666664,0.45052083333333326,0.4743268438949902,0.5062214124482125,1.0,321.7709166208903,2304,576
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,4,0.5,0.07638888888888888,0.08333333333333333,0.006944444444444444,0.0,0.6093749999999999,0.4380983427757504,0.4624048854166176,1.0,80.43600919511583,3072,768
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,4,1.0,0.4444444444444444,0.8263888888888888,0.3819444444444444,0.20833333333333334,0.6093749999999999,0.4380983427757504,0.4624048854166176,1.0,160.89702208836874,3072,768
gemma,LATE@27_lr0.0003_s1,LATE,27,0.0003,1,4,2.0,0.36111111111111116,0.8611111111111112,0.5,0.041666666666666664,0.6093749999999999,0.4380983427757504,0.4624048854166176,1.0,321.7660837173462,3072,768
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,1,0.5,0.062499999999999986,0.06944444444444443,0.006944444444444444,0.0,0.3671875,0.5314688455788806,0.8273955678450875,0.9283854166666666,80.44408151838515,768,192
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,1,1.0,0.34027777777777785,0.6111111111111112,0.2708333333333333,0.041666666666666664,0.3671875,0.5314688455788806,0.8273955678450875,0.9283854166666666,160.8846288786994,768,192
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,1,2.0,0.24999999999999994,0.611111111111111,0.3611111111111111,0.0,0.3671875,0.5314688455788806,0.8273955678450875,0.9283854166666666,321.7666787041558,768,192
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,2,0.5,0.06249999999999999,0.07638888888888888,0.013888888888888888,0.0,0.5104166666666666,0.4696732133270416,0.5391097012034152,1.0,80.44129490852356,1536,384
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,2,1.0,0.34722222222222227,0.7708333333333334,0.4236111111111111,0.125,0.5104166666666666,0.4696732133270416,0.5391097012034152,1.0,160.8834516207377,1536,384
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,2,2.0,0.1875,0.736111111111111,0.548611111111111,0.0,0.5104166666666666,0.4696732133270416,0.5391097012034152,1.0,321.7629168828328,1536,384
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,3,0.5,0.048611111111111105,0.05555555555555555,0.006944444444444444,0.0,0.48697916666666663,0.4520407744239492,0.4945198297427851,1.0,80.4541601339976,2304,576
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,3,1.0,0.31250000000000006,0.6319444444444445,0.3194444444444445,0.0,0.48697916666666663,0.4520407744239492,0.4945198297427851,1.0,160.88012472788492,2304,576
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,3,2.0,0.15972222222222232,0.7222222222222223,0.5625,0.0,0.48697916666666663,0.4520407744239492,0.4945198297427851,1.0,321.75927395290796,2304,576
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,4,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.6015625000000001,0.3997023271855748,0.4453858627821319,1.0,80.44065070152283,3072,768
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,4,1.0,0.3541666666666667,0.6597222222222222,0.3055555555555555,0.08333333333333333,0.6015625000000001,0.3997023271855748,0.4453858627821319,1.0,160.87840228610568,3072,768
gemma,LATE@27_lr0.001_s0,LATE,27,0.001,0,4,2.0,0.30555555555555547,0.6666666666666666,0.36111111111111116,0.0,0.6015625000000001,0.3997023271855748,0.4453858627821319,1.0,321.76603497399225,3072,768
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,1,0.5,0.5069444444444445,0.6458333333333334,0.13888888888888887,0.16666666666666666,0.7578125,0.31414639166141,1.786780864540333,0.1252263126131563,35.67390140151017,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,1,1.0,0.6249999999999999,0.8055555555555555,0.18055555555555555,0.375,0.7578125,0.31414639166141,1.786780864540333,0.1252263126131563,71.34390922440778,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,1,2.0,0.5069444444444444,0.75,0.24305555555555555,0.375,0.7578125,0.31414639166141,1.786780864540333,0.1252263126131563,142.68762484652885,768,192
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,2,0.5,0.4861111111111111,0.5625,0.07638888888888888,0.20833333333333334,0.9583333333333333,0.06859165843678976,0.18184404548901512,0.35033192516596257,35.96770056082098,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,2,1.0,0.7638888888888888,0.8541666666666666,0.09027777777777779,0.5416666666666666,0.9583333333333333,0.06859165843678976,0.18184404548901512,0.35033192516596257,71.93361616894703,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,2,2.0,0.576388888888889,0.7708333333333334,0.19444444444444442,0.2916666666666667,0.9583333333333333,0.06859165843678976,0.18184404548901512,0.35033192516596257,143.86608025051603,1536,384
gemma,PREFIX_DISTRIBUTED@15_lr0.0003_s0,PREFIX_DISTRIBUTED,15,0.0003,0,3,0.5,0.4930555555555556,0.5625,0.06944444444444445,0.20833333333333334,0.9713541666666666,0.037382231102936224,0.08251994955963937,0.36129551398109033,35.454845042436716,2304,576
