actor,format,endpoint,point,ci_low,ci_high,worlds,improvement_point,improvement_ci_low,improvement_ci_high
llama,F1_dim_A_strict,sign_balanced_accuracy,0.920005341880342,0.906529780982906,0.9332398504273504,48,,,
llama,F2_dim_A_strict,sign_balanced_accuracy,0.91875,0.9038995726495728,0.9335740518162392,48,,,
llama,F1_dim_A_strict,same_context_dual_query_reversal,0.7708333333333334,0.6458333333333334,0.875,48,,,
llama,F2_dim_A_strict,same_context_dual_query_reversal,0.7291666666666666,0.6041666666666666,0.8541666666666666,48,,,
llama,F1_dim_A_strict,holder_swap_correct,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,,,
llama,F2_dim_A_strict,holder_swap_correct,0.6458333333333334,0.5,0.7708333333333334,48,,,
llama,F1_dim_A_strict,target_swap_correct,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,,,
llama,F2_dim_A_strict,target_swap_correct,0.7916666666666666,0.6666666666666666,0.8958333333333334,48,,,
llama,F1_dim_C_threshold_free,operator_sign_world_auroc,0.9849893162393162,0.9801014957264956,0.9893696581196582,48,,,
llama,F2_dim_C_threshold_free,operator_sign_world_auroc,0.988034188034188,0.9838675213675212,0.9916399572649572,48,,,
llama,F1_dim_C_threshold_free,same_context_dual_query_reversal,1.0,1.0,1.0,48,,,
llama,F2_dim_C_threshold_free,same_context_dual_query_reversal,0.9791666666666666,0.9375,1.0,48,,,
llama,F1_dim_C_threshold_free,holder_swap_correct,1.0,1.0,1.0,48,,,
llama,F2_dim_C_threshold_free,holder_swap_correct,0.9791666666666666,0.9375,1.0,48,,,
llama,F1_dim_C_threshold_free,target_swap_correct,1.0,1.0,1.0,48,,,
llama,F2_dim_C_threshold_free,target_swap_correct,1.0,1.0,1.0,48,,,
llama,F1_dim_C_threshold_free,role_permutation_transfer,1.0,1.0,1.0,48,,,
llama,F2_dim_C_threshold_free,role_permutation_transfer,1.0,1.0,1.0,48,,,
llama,F1_dim_C_threshold_free,order_crossed_transfer,0.951121794871795,0.9310897435897436,0.9691506410256412,48,,,
llama,F2_dim_C_threshold_free,order_crossed_transfer,0.9727564102564102,0.9615384615384616,0.983974358974359,48,,,
gemma,F1,direct_single_holder_entailment_ba,1.0,1.0,1.0,48,0.4583333333333333,0.4166666666666667,0.4895833333333333
gemma,F2,direct_single_holder_entailment_ba,1.0,1.0,1.0,48,0.4583333333333333,0.4166666666666667,0.4895833333333333
gemma,zero_shot_baseline,direct_single_holder_entailment_ba,0.5416666666666666,0.5104166666666666,0.5833333333333334,48,,,
gemma,F1,operator_sign_ba,1.0,1.0,1.0,48,0.40934829059829064,0.3854153311965812,0.4307692307692308
gemma,F2,operator_sign_ba,0.998263888888889,0.9947916666666666,1.0,48,0.4076121794871795,0.3818910256410257,0.4301829594017095
gemma,zero_shot_baseline,operator_sign_ba,0.5906517094017093,0.5692307692307692,0.6145846688034187,48,,,
gemma,F1,same_context_dual_query_reversal,1.0,1.0,1.0,48,0.6041666666666666,0.4583333333333333,0.75
gemma,F2,same_context_dual_query_reversal,1.0,1.0,1.0,48,0.6041666666666666,0.4583333333333333,0.75
gemma,zero_shot_baseline,same_context_dual_query_reversal,0.3958333333333333,0.25,0.5416666666666666,48,,,
gemma,F1,holder_swap_correct,1.0,1.0,1.0,48,0.6458333333333334,0.5,0.7708333333333334
gemma,F2,holder_swap_correct,1.0,1.0,1.0,48,0.6458333333333334,0.5,0.7708333333333334
gemma,zero_shot_baseline,holder_swap_correct,0.3541666666666667,0.2291666666666666,0.5,48,,,
gemma,F1,target_swap_correct,1.0,1.0,1.0,48,0.1875,0.08333333333333333,0.3125
