actor,procedure,world,n,parse_rate,direct_negation_accuracy,equality_accuracy,score_accuracy,truncated,generation_score_agreement,mean_new_tokens,by_family,primitive_qualified,equality_ge_85_reported_only
gemma,C1,source,96,1.0,1.0,0.84375,0.9479166666666666,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.84375}",True,False
gemma,C1,counterfactual,96,1.0,0.984375,0.8125,0.9270833333333334,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 0.9333333333333333, ""same"": 0.8125}",True,False
gemma,C1,pooled,192,1.0,0.9921875,0.828125,0.9375,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 0.9666666666666667, ""same"": 0.828125}",True,False
qwen,T4,source,96,1.0,0.921875,0.71875,0.8541666666666666,0,1.0,2.0,"{""direct"": 0.9795918367346939, ""opposes"": 0.7333333333333333, ""same"": 0.71875}",True,False
qwen,T4,counterfactual,96,1.0,0.9375,0.65625,0.84375,0,1.0,2.0,"{""direct"": 0.9795918367346939, ""opposes"": 0.8, ""same"": 0.65625}",True,False
qwen,T4,pooled,192,1.0,0.9296875,0.6875,0.8489583333333334,0,1.0,2.0,"{""direct"": 0.9795918367346939, ""opposes"": 0.7666666666666667, ""same"": 0.6875}",True,False
