actor,condition,order,changed,harm,all24,accuracy,n_scenes
gemma,SOURCE,early,0.20768229166666666,0.0,0.0,0.6018880208333334,128
gemma,SOURCE,late,0.103515625,0.0,0.0,0.5432942708333334,128
gemma,COUNTERFACTUAL,early,0.818359375,0.004557291666666667,0.3984375,0.90625,128
gemma,COUNTERFACTUAL,late,0.8880208333333335,0.017578125,0.375,0.931640625,128
gemma,TEXT_CORRECTION,early,0.869140625,0.03059895833333333,0.3125,0.9186197916666667,128
gemma,TEXT_CORRECTION,late,0.83984375,0.027994791666666664,0.296875,0.9026692708333333,128
gemma,INV_SPARSE_CONTINUE_s0,early,0.9270833333333334,0.022135416666666664,0.578125,0.9514973958333334,128
gemma,INV_SPARSE_CONTINUE_s0,late,0.890625,0.033203125,0.3828125,0.9261067708333333,128
gemma,INV_SPARSE_CONTINUE_s1,early,0.9388020833333334,0.01953125,0.6015625,0.958984375,128
gemma,INV_SPARSE_CONTINUE_s1,late,0.8990885416666666,0.06510416666666666,0.3359375,0.9147135416666666,128
gemma,INV_COMPLETE_SINGLE_s0,early,0.9127604166666667,0.006510416666666666,0.53125,0.9524739583333333,128
gemma,INV_COMPLETE_SINGLE_s0,late,0.9075520833333334,0.015625,0.5390625,0.9449869791666667,128
gemma,INV_COMPLETE_SINGLE_s1,early,0.943359375,0.005859375,0.6796875,0.9680989583333333,128
gemma,INV_COMPLETE_SINGLE_s1,late,0.87890625,0.035807291666666664,0.4140625,0.919921875,128
gemma,FREE_SPARSE_CONTINUE_s0,early,0.9127604166666667,0.010416666666666666,0.546875,0.9505208333333333,128
gemma,FREE_SPARSE_CONTINUE_s0,late,0.9134114583333333,0.024739583333333332,0.53125,0.9423828125,128
gemma,FREE_SPARSE_CONTINUE_s1,early,0.8750000000000001,0.0026041666666666665,0.4921875,0.9361979166666666,128
gemma,FREE_SPARSE_CONTINUE_s1,late,0.890625,0.020182291666666664,0.390625,0.9345703125,128
gemma,FREE_COMPLETE_SINGLE_s0,early,0.931640625,0.00390625,0.6328125,0.9638671875,128
gemma,FREE_COMPLETE_SINGLE_s0,late,0.935546875,0.018880208333333332,0.609375,0.9573567708333334,128
gemma,FREE_COMPLETE_SINGLE_s1,early,0.9453125,0.007161458333333332,0.6640625,0.9680989583333334,128
gemma,FREE_COMPLETE_SINGLE_s1,late,0.9069010416666667,0.026041666666666664,0.484375,0.9397786458333333,128
gemma,FROZEN_V3_INVARIANT_SET_s0,early,0.9270833333333334,0.022135416666666664,0.578125,0.9514973958333334,128
gemma,FROZEN_V3_INVARIANT_SET_s0,late,0.890625,0.033203125,0.3828125,0.9261067708333333,128
gemma,FROZEN_V3_INVARIANT_SET_s1,early,0.908203125,0.007161458333333333,0.59375,0.9498697916666667,128
gemma,FROZEN_V3_INVARIANT_SET_s1,late,0.9069010416666667,0.024088541666666664,0.484375,0.9407552083333333,128
gemma,FROZEN_V3_FREE_OVERWRITE_s0,early,0.9127604166666667,0.010416666666666666,0.546875,0.9505208333333333,128
gemma,FROZEN_V3_FREE_OVERWRITE_s0,late,0.9134114583333333,0.024739583333333332,0.53125,0.9423828125,128
gemma,FROZEN_V3_FREE_OVERWRITE_s1,early,0.8268229166666667,0.006510416666666667,0.3359375,0.9088541666666666,128
gemma,FROZEN_V3_FREE_OVERWRITE_s1,late,0.8912760416666667,0.016276041666666664,0.484375,0.935546875,128
qwen,SOURCE,early,0.2669270833333333,0.0,0.0,0.6080729166666667,64
qwen,SOURCE,late,0.21354166666666666,0.0,0.0,0.5533854166666667,64
qwen,COUNTERFACTUAL,early,0.69140625,0.01171875,0.078125,0.8209635416666667,64
qwen,COUNTERFACTUAL,late,0.7643229166666667,0.04427083333333333,0.0625,0.8372395833333333,64
qwen,TEXT_CORRECTION,early,0.7369791666666667,0.08072916666666667,0.015625,0.8131510416666667,64
qwen,TEXT_CORRECTION,late,0.7213541666666667,0.061197916666666664,0.0,0.8053385416666667,64
qwen,INV_SPARSE_CONTINUE_s0,early,0.88671875,0.04036458333333333,0.265625,0.908203125,64
qwen,INV_SPARSE_CONTINUE_s0,late,0.85546875,0.07942708333333333,0.125,0.8704427083333333,64
qwen,INV_SPARSE_CONTINUE_s1,early,0.890625,0.03255208333333333,0.375,0.9147135416666666,64
qwen,INV_SPARSE_CONTINUE_s1,late,0.8450520833333333,0.06119791666666666,0.109375,0.869140625,64
qwen,INV_COMPLETE_SINGLE_s0,early,0.9010416666666667,0.015624999999999998,0.359375,0.9322916666666667,64
qwen,INV_COMPLETE_SINGLE_s0,late,0.8229166666666666,0.0390625,0.28125,0.8776041666666667,64
qwen,INV_COMPLETE_SINGLE_s1,early,0.9049479166666666,0.01171875,0.484375,0.9375,64
qwen,INV_COMPLETE_SINGLE_s1,late,0.8776041666666667,0.03515625,0.234375,0.9055989583333333,64
qwen,FREE_SPARSE_CONTINUE_s0,early,0.8450520833333334,0.057291666666666664,0.21875,0.8821614583333334,64
qwen,FREE_SPARSE_CONTINUE_s0,late,0.6731770833333334,0.05729166666666667,0.046875,0.7877604166666667,64
qwen,FREE_SPARSE_CONTINUE_s1,early,0.8307291666666666,0.013020833333333332,0.265625,0.8971354166666666,64
qwen,FREE_SPARSE_CONTINUE_s1,late,0.7916666666666667,0.057291666666666664,0.09375,0.845703125,64
qwen,FREE_COMPLETE_SINGLE_s0,early,0.8268229166666667,0.014322916666666664,0.328125,0.8958333333333333,64
qwen,FREE_COMPLETE_SINGLE_s0,late,0.8880208333333334,0.037760416666666664,0.265625,0.9075520833333333,64
qwen,FREE_COMPLETE_SINGLE_s1,early,0.8541666666666667,0.016927083333333332,0.34375,0.9088541666666667,64
qwen,FREE_COMPLETE_SINGLE_s1,late,0.8046875,0.04427083333333333,0.125,0.8626302083333334,64
qwen,FROZEN_V3_INVARIANT_SET_s0,early,0.88671875,0.04036458333333333,0.265625,0.908203125,64
qwen,FROZEN_V3_INVARIANT_SET_s0,late,0.85546875,0.07942708333333333,0.125,0.8704427083333333,64
qwen,FROZEN_V3_INVARIANT_SET_s1,early,0.890625,0.03255208333333333,0.375,0.9147135416666666,64
qwen,FROZEN_V3_INVARIANT_SET_s1,late,0.8450520833333333,0.06119791666666666,0.109375,0.869140625,64
qwen,FROZEN_V3_FREE_OVERWRITE_s0,early,0.88671875,0.06640625,0.234375,0.8997395833333334,64
qwen,FROZEN_V3_FREE_OVERWRITE_s0,late,0.82421875,0.0859375,0.046875,0.8509114583333333,64
