actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,additional_rows,n_scenes,n_rows,disagreement_vs_single,disagreement_count,disagreement_denominator,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from,shared_from_condition,by_family
gemma,SOURCE,single,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5950520833333334,0.34843750000000007,0.00625,1.0,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,SOURCE,noop,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.0,0,1536,3.353142524030504,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
gemma,SOURCE,repeat2,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5950520833333334,0.34843750000000007,0.00625,1.0,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,SOURCE,repeat4,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5950520833333334,0.34843750000000007,0.00625,1.0,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,SOURCE,repeat8,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5950520833333334,0.34843750000000007,0.00625,1.0,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,SOURCE,restore,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.0,0,1536,3.353142524030504,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
gemma,SOURCE,restore_after4,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.0,0,1536,3.353142524030504,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
gemma,SOURCE,overwrite,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5950520833333334,0.34843750000000007,0.00625,1.0,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,SOURCE,AB,0.12044270833333331,0.0,0.0,0.0,0.0,0.4466145833333333,0.4466145833333333,0.3859375,0.005208333333333333,1.0,0.0,,,64,1536,0.0,0,1536,2.6969523013238983,,,,[],[],"{""both"": 0.53125, ""direct"": 0.51953125, ""either"": 0.58984375, ""opposes"": 0.0703125, ""same"": 0.44921875}"
gemma,SOURCE,BA,0.12044270833333331,0.0,0.0,0.0,0.0,0.4466145833333333,0.4466145833333333,0.3859375,0.005208333333333333,1.0,0.0,,,64,1536,0.0,0,1536,2.6969523013238983,,,,[],[],"{""both"": 0.53125, ""direct"": 0.51953125, ""either"": 0.58984375, ""opposes"": 0.0703125, ""same"": 0.44921875}"
gemma,SOURCE,ABC,0.09147135416666666,0.0,0.0,0.0,0.0,0.49869791666666663,0.4603365384615385,0.3859375,0.07916666666666666,1.0,0.0,0.0,128,64,1664,0.0,0,1536,3.79235116136647,,,,[],[],"{""both"": 0.609375, ""direct"": 0.51953125, ""either"": 0.55859375, ""opposes"": 0.0703125, ""same"": 0.71484375}"
gemma,SOURCE,CBA,0.09147135416666666,0.0,0.0,0.0,0.0,0.49869791666666663,0.4603365384615385,0.3859375,0.07916666666666666,1.0,0.0,0.0,128,64,1664,0.0,0,1536,3.79235116136647,,,,[],[],"{""both"": 0.609375, ""direct"": 0.51953125, ""either"": 0.55859375, ""opposes"": 0.0703125, ""same"": 0.71484375}"
gemma,SOURCE,AB_cross,0.19791666666666663,0.0,0.0,0.0,0.0,0.5950520833333334,0.5492788461538461,0.34843750000000007,0.00625,1.0,0.0,0.0,128,64,1664,0.0,0,1536,6.0380378367123434e-05,,,,[],[],"{""both"": 0.5703125, ""direct"": 0.76171875, ""either"": 0.62109375, ""opposes"": 0.5703125, ""same"": 0.28515625}"
gemma,NATURAL_FINAL_WORLD,single,0.84375,0.006510416666666666,0.006510416666666666,0.4375,0.4375,0.9173177083333333,0.9173177083333333,0.88125,0.009375000000000001,0.9934895833333333,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.98046875, ""either"": 0.8984375, ""opposes"": 0.9375, ""same"": 0.7734375}"
gemma,NATURAL_FINAL_WORLD,noop,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.3326822916666667,511,1536,0.8956217904390146,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
gemma,NATURAL_FINAL_WORLD,repeat2,0.84375,0.006510416666666666,0.006510416666666666,0.4375,0.4375,0.9173177083333333,0.9173177083333333,0.88125,0.009375000000000001,0.9934895833333333,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.98046875, ""either"": 0.8984375, ""opposes"": 0.9375, ""same"": 0.7734375}"
gemma,NATURAL_FINAL_WORLD,repeat4,0.84375,0.006510416666666666,0.006510416666666666,0.4375,0.4375,0.9173177083333333,0.9173177083333333,0.88125,0.009375000000000001,0.9934895833333333,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.98046875, ""either"": 0.8984375, ""opposes"": 0.9375, ""same"": 0.7734375}"
gemma,NATURAL_FINAL_WORLD,repeat8,0.84375,0.006510416666666666,0.006510416666666666,0.4375,0.4375,0.9173177083333333,0.9173177083333333,0.88125,0.009375000000000001,0.9934895833333333,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.98046875, ""either"": 0.8984375, ""opposes"": 0.9375, ""same"": 0.7734375}"
gemma,NATURAL_FINAL_WORLD,restore,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.3326822916666667,511,1536,0.8956217904390146,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
gemma,NATURAL_FINAL_WORLD,restore_after4,,0.0,0.0,0.3125,0.3125,0.8971354166666666,0.8971354166666666,0.8453125,0.06584821428571429,1.0,0.0,,,64,1536,0.3326822916666667,511,1536,0.8956217904390146,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.97265625, ""either"": 0.86328125, ""opposes"": 0.9296875, ""same"": 0.71484375}"
