actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
qwen,INV_SPARSE_CONTINUE_s0,repeat4,32,3.814697265625e-06,0.0078125,0.03125
qwen,INV_SPARSE_CONTINUE_s0,repeat8,32,7.62939453125e-06,0.0078125,0.0
qwen,INV_SPARSE_CONTINUE_s0,restore,32,4.367387771606445,4.375,0.0
qwen,INV_SPARSE_CONTINUE_s0,restore_after4,32,4.367387771606445,4.375,0.0
qwen,INV_SPARSE_CONTINUE_s1,AB,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s1,ABC,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s1,AB_cross,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s1,BA,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s1,CBA,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s1,noop,32,2.8854873180389404,2.88671875,0.0
qwen,INV_SPARSE_CONTINUE_s1,overwrite,32,3.814697265625e-06,0.00390625,0.03125
qwen,INV_SPARSE_CONTINUE_s1,repeat2,32,3.814697265625e-06,0.00390625,0.03125
qwen,INV_SPARSE_CONTINUE_s1,repeat4,32,7.62939453125e-06,0.00390625,0.0625
qwen,INV_SPARSE_CONTINUE_s1,repeat8,32,7.62939453125e-06,0.00390625,0.03125
qwen,INV_SPARSE_CONTINUE_s1,restore,32,2.8854873180389404,2.88671875,0.0
qwen,INV_SPARSE_CONTINUE_s1,restore_after4,32,2.8854873180389404,2.88671875,0.0
