model,endpoint,population,family,estimate,ci_low,ci_high,monotonicity,items,permutation_p_greater,independent_clusters,pairs,baseline_flips,flips_rescued,stable_pairs_disrupted
gemma,claim1_local_slope,ALL,wrong_layer,1.004499999642372,0.9168749986857176,1.0956249992221594,0.9626666666666668,500,,,,,,
gemma,claim1_local_slope,ALL,random_orthogonal,-0.0195416655341784,-0.0257499987175067,-0.0132916659648219,0.612111111111111,500,,,,,,
gemma,claim1_dim_minus_controls_local_slope,ALL,dim_minus_controls,1.279645831992229,1.170561978859206,1.3884046841149529,0.9963333333333334,500,0.0001999600079984003,125.0,,,,
gemma,claim1_local_slope,BOTH_CLEAR,dim,1.4823088825734196,1.3067697533932272,1.6787071672086047,0.9943883277216612,297,,,,,,
gemma,claim1_local_slope,BOTH_CLEAR,opposite_dim,-1.4823088825734196,-1.6787071672086051,-1.3067697533932272,0.029180695847362513,297,,,,,,
gemma,claim1_local_slope,BOTH_CLEAR,wrong_layer,0.870996904520949,0.778451064877602,0.9743048401616164,0.9523007856341191,297,,,,,,
gemma,claim1_local_slope,BOTH_CLEAR,random_orthogonal,-0.0177054624282733,-0.0260273175072899,-0.0089818619677405,0.6036288814066593,297,,,,,,
gemma,claim1_dim_minus_controls_local_slope,BOTH_CLEAR,dim_minus_controls,1.0556631615270815,0.9195179785455554,1.2095304852081297,0.9943883277216612,297,0.0001999600079984003,121.0,,,,
gemma,claim1_local_slope,DISPUTED,dim,2.244454092081682,1.981762395106992,2.519344384575055,0.9991789819376027,203,,,,,,
gemma,claim1_local_slope,DISPUTED,opposite_dim,-2.244454092081682,-2.519344384575055,-1.981762395106992,0.019704433497536946,203,,,,,,
gemma,claim1_local_slope,DISPUTED,wrong_layer,1.2181712960203488,1.069902583013898,1.3764226519031284,0.9778325123152709,203,,,,,,
gemma,claim1_local_slope,DISPUTED,random_orthogonal,-0.0188400206681141,-0.0318126284291224,-0.0059297049556065,0.6245210727969348,203,,,,,,
gemma,claim1_dim_minus_controls_local_slope,DISPUTED,dim_minus_controls,1.644788454405565,1.4464031998941929,1.8457153842608165,0.9991789819376027,203,0.0001999600079984003,108.0,,,,
