actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
gemma,FREE_OVERWRITE_s1,repeat4,64,3.918268918991089,1.9391959365457296,3.91796875,0.0
gemma,FREE_OVERWRITE_s1,repeat8,64,3.8463897705078125,1.9096563886851072,3.84765625,0.0
gemma,FREE_OVERWRITE_s1,restore,64,11.920495986938477,9.955309726297855,11.90625,0.0
gemma,FREE_OVERWRITE_s1,restore_after4,64,12.494365692138672,10.186848677694798,12.46875,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,AB,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,ABC,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,AB_cross,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,BA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,CBA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,noop,64,12.233616828918457,11.365994483232498,12.21875,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,overwrite,64,12.027036666870117,11.461784169077873,12.0625,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,repeat2,64,8.269895553588867,7.984631389379501,8.3125,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,repeat4,64,24.689579010009766,23.636489778757095,24.71875,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,repeat8,64,57.297908782958984,54.54356783628464,57.375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,restore,64,8.345602035522461,8.197436884045601,8.359375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s0,restore_after4,64,27.01325035095215,24.61372670531273,27.0625,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,AB,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,ABC,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,AB_cross,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,BA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,CBA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,noop,64,11.320490837097168,10.945758521556854,11.3125,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,overwrite,64,11.409208297729492,11.01623709499836,11.4375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,repeat2,64,8.308931350708008,7.549574658274651,8.34375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,repeat4,64,24.83208656311035,22.537187159061432,24.84375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,repeat8,64,57.41960906982422,52.08702152967453,57.59375,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,restore,64,8.274982452392578,7.572061747312546,8.265625,0.0
gemma,FROZEN_V2_CLAUSE_FP32_s1,restore_after4,64,26.388751983642578,24.983554184436798,26.4375,0.0
gemma,FROZEN_V2_CLAUSE_s0,AB,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s0,ABC,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s0,AB_cross,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s0,BA,64,,,,0.0
gemma,FROZEN_V2_CLAUSE_s0,CBA,64,,,,0.0
