actor,condition,program,n,final_decision_accuracy,all_receivers_correct,complete_episode_correct,receiver_accuracy,receiver_failures,aggregator_unparsed,correct_when_majority_changes,correct_when_invariant,reports_reused
gemma,CANONICAL_V2_s0,AB,128,0.984375,0.96875,0.9609375,0.9895833333333333,0,0,0.96875,1.0,0
gemma,CANONICAL_V2_s0,repeat2,128,0.9921875,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,1.0,128
gemma,CANONICAL_V2_s0,restore,128,0.984375,0.9765625,0.9765625,0.9921875,0,0,,0.984375,0
gemma,CANONICAL_V2_s0,single,128,0.9921875,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,1.0,0
gemma,CANONICAL_V2_s1,AB,128,0.9296875,0.828125,0.828125,0.9374999999999999,0,0,0.875,0.984375,0
gemma,CANONICAL_V2_s1,repeat2,128,0.984375,0.953125,0.9453125,0.984375,0,0,0.984375,0.984375,128
gemma,CANONICAL_V2_s1,restore,128,0.9921875,0.984375,0.984375,0.9947916666666666,0,0,,0.9921875,0
gemma,CANONICAL_V2_s1,single,128,0.984375,0.953125,0.9453125,0.984375,0,0,0.984375,0.984375,0
gemma,CONTINUED_AFFINE_s0,AB,128,0.96875,0.96875,0.9609375,0.9895833333333333,0,0,0.96875,0.96875,0
gemma,CONTINUED_AFFINE_s0,repeat2,128,0.9140625,0.796875,0.7890625,0.9296875,0,0,0.953125,0.875,0
gemma,CONTINUED_AFFINE_s0,restore,128,0.828125,0.6640625,0.6640625,0.8880208333333333,0,0,,0.828125,0
gemma,CONTINUED_AFFINE_s0,single,128,0.9921875,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,1.0,0
gemma,CONTINUED_AFFINE_s1,AB,128,0.96875,0.953125,0.953125,0.984375,0,0,0.9375,1.0,0
gemma,CONTINUED_AFFINE_s1,repeat2,128,0.84375,0.734375,0.7265625,0.9088541666666666,0,0,0.71875,0.96875,0
gemma,CONTINUED_AFFINE_s1,restore,128,0.703125,0.4765625,0.4765625,0.8177083333333333,0,0,,0.703125,0
gemma,CONTINUED_AFFINE_s1,single,128,0.9921875,1.0,0.9921875,1.0,0,0,0.984375,1.0,0
gemma,FREE_OVERWRITE_s0,AB,128,0.9921875,1.0,0.9921875,1.0,0,0,0.984375,1.0,0
gemma,FREE_OVERWRITE_s0,repeat2,128,0.9921875,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,1.0,0
gemma,FREE_OVERWRITE_s0,restore,128,0.9921875,0.984375,0.984375,0.9947916666666666,0,0,,0.9921875,0
gemma,FREE_OVERWRITE_s0,single,128,0.9921875,1.0,0.9921875,1.0,0,0,0.984375,1.0,0
gemma,FREE_OVERWRITE_s1,AB,128,0.9765625,0.96875,0.9609375,0.9895833333333333,0,0,0.984375,0.96875,0
gemma,FREE_OVERWRITE_s1,repeat2,128,0.984375,0.9765625,0.96875,0.9921875,0,0,0.96875,1.0,0
gemma,FREE_OVERWRITE_s1,restore,128,1.0,0.9921875,0.9921875,0.9973958333333333,0,0,,1.0,0
gemma,FREE_OVERWRITE_s1,single,128,0.9921875,0.984375,0.9765625,0.9947916666666666,0,0,0.984375,1.0,0
gemma,FROZEN_V2_CLAUSE_s0,AB,128,0.984375,0.96875,0.9609375,0.9895833333333333,0,0,0.96875,1.0,0
gemma,FROZEN_V2_CLAUSE_s0,repeat2,128,0.921875,0.8125,0.8046875,0.9375,0,0,0.90625,0.9375,0
gemma,FROZEN_V2_CLAUSE_s0,restore,128,0.8046875,0.609375,0.609375,0.8697916666666665,0,0,,0.8046875,0
gemma,FROZEN_V2_CLAUSE_s0,single,128,0.9921875,0.9921875,0.984375,0.9973958333333333,0,0,0.984375,1.0,0
