actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,reg_train,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,INVARIANT_SET,0.0003,0,1,1.0,0.9409722222222222,0.009259259259259259,0.7708333333333334,0.9097222222222222,0.9722222222222222,True,"[1, 0.9409722222222222]",0.970486111111111,0.0023148148148148147,0.051896944834663825,0.033600146954919786,0.008669593211056457,79.7151952555378,240.61334754908842,1440,360,87.17694014500012,53.255051705999904,False
gemma,INVARIANT_SET,0.0003,0,2,1.0,0.9756944444444445,0.004629629629629629,0.8958333333333334,0.9930555555555557,0.9583333333333334,True,"[1, 0.9756944444444445]",1.0,0.0,0.00150503999739663,0.006603314986033284,0.005433660020611973,63.98525967404275,200.36168019084755,2880,720,86.59759070899963,53.166029785999854,False
gemma,INVARIANT_SET,0.0003,0,3,1.0,0.923611111111111,0.0011574074074074073,0.7916666666666666,0.9166666666666666,0.9305555555555555,True,"[1, 0.923611111111111]",1.0,0.0,0.0012304683750800096,0.009404173056365532,0.0038080215606088232,53.061419664084106,169.71920354314912,1440,360,84.4975103480001,53.187292277999404,False
gemma,INVARIANT_SET,0.0003,0,4,1.0,0.9027777777777777,0.0023148148148148147,0.7291666666666666,0.8333333333333334,0.9722222222222222,True,"[1, 0.9027777777777777]",0.9652777777777778,0.0,0.08994295792349602,0.006199837851489873,0.003077846864147836,55.07558596664517,179.23702212317818,1440,360,84.23439438100013,53.24164258000019,False
gemma,INVARIANT_SET,0.0003,1,1,1.0,0.9652777777777777,0.006944444444444445,0.875,0.9722222222222222,0.9583333333333334,True,"[1, 0.9652777777777777]",0.9947916666666666,0.004050925925925926,0.013725061449750026,0.041179989355946925,0.009404144736860569,79.398478886145,237.9995304650628,1440,360,86.78658564700072,53.192156058000364,False
gemma,INVARIANT_SET,0.0003,1,2,1.0,0.9548611111111112,0.016203703703703703,0.8125,0.9513888888888888,0.9583333333333334,True,"[1, 0.9548611111111112]",0.9930555555555557,0.0005787037037037037,0.014386910457207906,0.012216670578982302,0.00561442636535503,72.14287891424831,219.25505382223525,2880,720,86.74305686800017,53.11424961300054,False
gemma,INVARIANT_SET,0.0003,1,3,1.0,0.9305555555555555,0.015046296296296294,0.7083333333333334,0.9166666666666666,0.9444444444444443,True,"[1, 0.9305555555555555]",1.0,0.0,0.001902117667992166,0.006931737209518158,0.004466860571927908,59.30577380329774,188.24952378487794,4320,1080,86.84218588900058,53.137622467000256,False
gemma,INVARIANT_SET,0.0003,1,4,1.0,0.9756944444444443,0.0023148148148148147,0.9166666666666666,0.9791666666666666,0.9722222222222222,True,"[1, 0.9756944444444443]",0.998263888888889,0.0,0.0022136310863642293,0.017346982194097412,0.00365423536051013,60.75261494915075,191.42849921275123,5760,1440,87.10643366500062,53.317107837999174,False
gemma,INVARIANT_SET,0.001,0,1,1.0,0.8472222222222223,0.011574074074074075,0.5,0.8541666666666666,0.8402777777777777,True,"[1, 0.8472222222222223]",0.9288194444444443,0.002893518518518519,0.1173473082034775,0.08524782935694727,0.010477630307044213,94.49065494352891,294.3875210568163,1440,360,86.56995521699992,53.11652672499986,True
gemma,INVARIANT_SET,0.001,0,2,1.0,0.951388888888889,0.011574074074074072,0.7708333333333334,0.9305555555555557,0.9722222222222222,True,"[1, 0.951388888888889]",0.9722222222222222,0.0,0.0550321250619441,0.019744965438566294,0.0075111553661473505,68.95748634817983,223.53881494751275,2880,720,86.2188978109998,53.18005027700019,True
