actor,population,rows,units,delta_point,delta_ci_low,delta_ci_high,rule,token_removed_delta_point,token_removed_ci_low,token_removed_ci_high,L0_auroc,L1_auroc,L0_ba,L1_ba,R_delta_point
llama,primary_replication,1500,1454,0.0636054882455652,0.0442536402097535,0.0830331922882033,POSITIVE,0.0692687704872246,0.051856205820724,0.0869765950146322,0.9303768888888888,0.9535288888888888,0.86,0.8933333333333333,0.3079227367578661
llama,secondary_board_population,300,75,0.072904639114429,0.0278065081811922,0.11663329135929,POSITIVE,0.0726343559925969,0.025835677062534,0.1175882005034895,0.7785777777777777,0.8468444444444445,0.7,0.7866666666666666,0.4280478395518929
gemma,primary_replication,1500,1454,0.0379990495457989,0.02496308913221,0.0511706456440446,POSITIVE,0.0374059650491177,0.0241954025224895,0.0507003832483225,0.951416888888889,0.964848,0.8986666666666667,0.9053333333333332,0.2953970833699289
gemma,secondary_board_population,300,75,0.0312651122814262,0.0039731667302948,0.0589779540383121,POSITIVE,0.0331134185397956,0.0054741875143309,0.0610652365034514,0.8636444444444445,0.884888888888889,0.8033333333333332,0.8,0.4148956649967399
