actor,method,seed,cal_all24,cal_pair_correct,cal_changed,cal_harm,cal_noop_preservation,meta_epoch,meta_steps,lr,kappa,basis_raw_norm,head0_norm,head1_norm,bias0_norm,bias1_norm
gemma,INV_PAIR_NLL,0,0.84375,0.8125,0.984375,0.0026041666666666665,0.9985795454545454,1,384,0.0003,0.0,4.886268138885498,11.049636840820312,8.43386459350586,93.50712585449219,70.7269515991211
gemma,INV_PAIR_NLL,1,0.71875,0.59375,0.9557291666666667,0.018229166666666664,0.9835464015151515,1,384,0.0003,0.0,4.964698314666748,9.622232437133789,4.566667556762695,104.87120819091797,126.61116790771484
gemma,FREE_PAIR_CONSISTENCY,0,0.8125,0.75,0.9739583333333334,0.020833333333333332,0.9859138257575757,2,1440,0.001,,10.45723819732666,13.003973007202148,10.28147029876709,93.01345825195312,70.50839233398438
gemma,FREE_PAIR_CONSISTENCY,1,0.625,0.59375,0.9348958333333333,0.015625,0.9861557147562583,1,384,0.001,1.0,10.751927375793457,12.325359344482422,8.27744197845459,104.89309692382812,126.22994232177734
qwen,INV_PAIR_NLL,0,0.625,0.59375,0.9557291666666667,0.010416666666666666,0.9953723086124402,1,384,0.0003,0.0,5.311607837677002,3.6217637062072754,3.2141408920288086,0.02588580921292305,0.022716591134667397
qwen,INV_PAIR_NLL,1,0.65625,0.59375,0.9479166666666666,0.005208333333333333,0.9986979166666667,1,384,0.0003,0.0,5.2437286376953125,3.5948545932769775,3.2661330699920654,0.0314728282392025,0.026985732838511467
qwen,FREE_PAIR_CONSISTENCY,0,0.4375,0.375,0.9270833333333334,0.026041666666666664,0.9860434033453198,1,384,0.001,1.0,11.53248405456543,9.375690460205078,9.30484390258789,0.04150523617863655,0.047357842326164246
qwen,FREE_PAIR_CONSISTENCY,1,0.5,0.375,0.9140625,0.03645833333333333,0.980719835759524,1,384,0.001,1.0,10.66385269165039,9.339231491088867,8.683170318603516,0.0462937168776989,0.0416426919400692
