actor,method,basis_overlap,principal_cos_mean,principal_cos_min,principal_cos_max,effective_head_cos_0,effective_bias_cos_0,effective_head_cos_1,effective_bias_cos_1
gemma,INV_PAIR_NLL,0.09547607191690874,0.25104411483296357,0.011901041462759462,0.6727799542250933,0.03151749040666406,0.2830705677698362,0.051727220493508544,0.47847612206698786
gemma,FREE_PAIR_CONSISTENCY,0.07239112014792103,0.2015936796084444,0.007834135560978823,0.6635789892739219,0.038362929320003646,0.19999665594769778,0.054489265049175055,0.46402624334980197
qwen,INV_PAIR_NLL,0.6218802320410683,0.784222092761419,0.6029967046853577,0.9114001895489702,0.31169117925422585,0.6419027877064616,0.33589245544224144,0.6269130563505088
qwen,FREE_PAIR_CONSISTENCY,0.09943901309706607,0.27848455286826435,0.004110648890579097,0.5328219876656978,0.08159598345794536,0.3311048353066628,0.06632163466646393,0.2873490344987486
