actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,saturation,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,SHARED_CLAUSE,0.0003,0,1,0.5,0.359375,0.015625,0.125,0.35416666666666663,0.3645833333333333,False,"[0, 0.328125]",0.954861111111111,0.0,0.06646920643580263,0.06400584901929404,0.9140501110053917,50.317925096239364,149.48704031783544,1440,360,120.87145483800032,53.11786764699991,False
gemma,SHARED_CLAUSE,0.0003,0,1,0.75,0.8697916666666667,0.010416666666666666,0.53125,0.8645833333333333,0.875,True,"[1, 0.8697916666666667]",0.954861111111111,0.0,0.06646920643580263,0.06400584901929404,0.9140501110053917,75.47691346849714,224.23078800771344,1440,360,120.87145483800032,66.02587659799974,False
gemma,SHARED_CLAUSE,0.0003,0,1,1.0,0.9479166666666667,0.010416666666666666,0.75,0.9479166666666666,0.9479166666666667,True,"[1, 0.9479166666666667]",0.954861111111111,0.0,0.06646920643580263,0.06400584901929404,0.9140501110053917,100.63546160561698,298.97315415737813,1440,360,120.87145483800032,79.21226229100012,False
gemma,SHARED_CLAUSE,0.0003,0,1,1.25,0.9114583333333333,0.013888888888888888,0.75,0.9270833333333333,0.8958333333333333,True,"[1, 0.9114583333333333]",0.954861111111111,0.0,0.06646920643580263,0.06400584901929404,0.9140501110053917,125.79363635471888,373.7143260409414,1440,360,120.87145483800032,92.20112975899974,False
gemma,SHARED_CLAUSE,0.0003,0,2,0.5,0.40625,0.010416666666666666,0.1875,0.35416666666666663,0.45833333333333326,False,"[0, 0.3854166666666667]",0.998263888888889,0.0,0.006022511485875586,0.005572327159087662,0.9368855058674278,49.784329090118405,148.40621651154896,2880,720,119.10585622999952,51.73296208700049,False
gemma,SHARED_CLAUSE,0.0003,0,2,0.75,0.8802083333333333,0.010416666666666666,0.65625,0.78125,0.9791666666666666,False,"[0, 0.8593749999999999]",0.998263888888889,0.0,0.006022511485875586,0.005572327159087662,0.9368855058674278,74.6762777873448,222.6084140578033,2880,720,119.10585622999952,64.67495734899967,False
gemma,SHARED_CLAUSE,0.0003,0,2,1.0,0.96875,0.0,0.8125,0.9375,1.0,True,"[1, 0.96875]",0.998263888888889,0.0,0.006022511485875586,0.005572327159087662,0.9368855058674278,99.56781172616141,296.80973796589114,2880,720,119.10585622999952,77.50825351099957,False
gemma,SHARED_CLAUSE,0.0003,0,2,1.25,0.96875,0.010416666666666666,0.8125,0.9375,1.0,True,"[1, 0.96875]",0.998263888888889,0.0,0.006022511485875586,0.005572327159087662,0.9368855058674278,124.45964957101005,371.01171853418947,2880,720,119.10585622999952,90.64900573799969,False
gemma,SHARED_CLAUSE,0.0003,1,1,0.5,0.40624999999999994,0.010416666666666666,0.09375,0.23958333333333331,0.5729166666666666,False,"[0, 0.38541666666666663]",0.9895833333333334,0.013888888888888888,0.05163893803107587,0.07753514890760521,0.9575007928956549,49.97326134000506,148.87236348896553,1440,360,110.2016527070009,51.70934663499975,False
gemma,SHARED_CLAUSE,0.0003,1,1,0.75,0.828125,0.020833333333333332,0.5625,0.71875,0.9375,False,"[0, 0.7864583333333334]",0.9895833333333334,0.013888888888888888,0.05163893803107587,0.07753514890760521,0.9575007928956549,74.95858402252198,223.30448067382972,1440,360,110.2016527070009,64.4963905450004,False
gemma,SHARED_CLAUSE,0.0003,1,1,1.0,0.953125,0.05729166666666666,0.59375,0.90625,1.0,False,"[0, 0.8385416666666667]",0.9895833333333334,0.013888888888888888,0.05163893803107587,0.07753514890760521,0.9575007928956549,99.94475947243826,297.7396121814621,1440,360,110.2016527070009,77.42969695300053,False
gemma,SHARED_CLAUSE,0.0003,1,1,1.25,0.953125,0.04513888888888889,0.6875,0.90625,1.0,True,"[1, 0.953125]",0.9895833333333334,0.013888888888888888,0.05163893803107587,0.07753514890760521,0.9575007928956549,124.93096522194999,372.17439184145286,1440,360,110.2016527070009,90.4807462179997,False
gemma,SHARED_CLAUSE,0.0003,1,2,0.5,0.359375,0.010416666666666666,0.0625,0.25,0.46874999999999994,False,"[0, 0.3385416666666667]",0.998263888888889,0.0034722222222222225,0.011555562302829812,0.010393726941422049,0.9432286711068824,51.54998439243862,152.407695680786,2880,720,108.73136832900127,51.80109754299883,False
gemma,SHARED_CLAUSE,0.0003,1,2,0.75,0.828125,0.026041666666666664,0.5625,0.75,0.90625,False,"[0, 0.7760416666666666]",0.998263888888889,0.0034722222222222225,0.011555562302829812,0.010393726941422049,0.9432286711068824,77.32273009163993,228.60480575367706,2880,720,108.73136832900127,64.99895267799911,False
gemma,SHARED_CLAUSE,0.0003,1,2,1.0,0.9427083333333334,0.06770833333333333,0.625,0.8958333333333333,0.9895833333333334,False,"[0, 0.8072916666666667]",0.998263888888889,0.0034722222222222225,0.011555562302829812,0.010393726941422049,0.9432286711068824,103.09991952078683,304.8150510996353,2880,720,108.73136832900127,77.82807970799877,False
gemma,SHARED_CLAUSE,0.0003,1,2,1.25,0.9375,0.04513888888888889,0.6875,0.8854166666666666,0.9895833333333334,True,"[1, 0.9375]",0.998263888888889,0.0034722222222222225,0.011555562302829812,0.010393726941422049,0.9432286711068824,128.87378348214287,381.01567234465074,2880,720,108.73136832900127,90.75390446799975,False
gemma,SHARED_CLAUSE,0.001,0,1,0.5,0.3958333333333333,0.010416666666666666,0.125,0.375,0.41666666666666663,False,"[0, 0.375]",0.9913194444444445,0.004629629629629629,0.032995372036739606,0.05752303945813664,0.9822391373295274,51.59607808794294,152.52704380979557,1440,360,121.61492436299886,52.812523287999284,True
