actor,condition,program,changed,harm,all24,accuracy,touched_accuracy,preservation,n_scenes
gemma,SHARED_TAIL_s1,AB,0.8216145833333333,0.12890625,0.25,0.833984375,0.8640625,0.8586602633477634,64
gemma,SHARED_TAIL_s1,BA,0.8206380208333333,0.12890625,0.25,0.8333333333333334,0.8625,0.8586602633477634,64
gemma,SHARED_TAIL_s1,ABC,0.7369791666666666,0.24348958333333331,0.0625,0.7154947916666667,0.7671874999999999,0.7168487762237762,64
gemma,SHARED_TAIL_s1,CBA,0.7340494791666667,0.24772135416666666,0.0625,0.7122395833333333,0.7625,0.7122031614219114,64
gemma,QUERY_TAIL_s0,single,0.87109375,0.0234375,0.46875,0.921875,0.8953125,0.9763257575757576,64
gemma,QUERY_TAIL_s0,noop,,0.04231770833333333,0.46875,0.9296875,0.9406249999999999,0.9521515405437104,64
gemma,QUERY_TAIL_s0,repeat,0.7421875,0.2799479166666667,0.078125,0.7311197916666666,0.734375,0.7165719696969697,64
gemma,QUERY_TAIL_s0,restore,,0.13151041666666666,0.109375,0.8033854166666667,0.728125,0.8532915712755961,64
gemma,QUERY_TAIL_s0,AB,0.7542317708333333,0.15364583333333334,0.125,0.8014322916666667,0.784375,0.8316637355699855,64
gemma,QUERY_TAIL_s0,BA,0.748046875,0.15169270833333334,0.109375,0.7994791666666667,0.7875,0.8342679022366521,64
gemma,QUERY_TAIL_s0,ABC,0.6774088541666667,0.27571614583333337,0.046875,0.6966145833333334,0.68125,0.6879351984820734,64
gemma,QUERY_TAIL_s0,CBA,0.6725260416666666,0.2734375,0.046875,0.6966145833333334,0.6781249999999999,0.690923464556277,64
gemma,QUERY_TAIL_s1,single,0.8880208333333334,0.026041666666666664,0.546875,0.927734375,0.91875,0.9734848484848484,64
gemma,QUERY_TAIL_s1,noop,,0.033854166666666664,0.5625,0.9544270833333333,0.9750000000000001,0.9623689427815888,64
gemma,QUERY_TAIL_s1,repeat,0.6354166666666667,0.2109375,0.015625,0.708984375,0.7109375,0.7871685606060606,64
gemma,QUERY_TAIL_s1,restore,,0.23958333333333334,0.015625,0.6979166666666667,0.5859375,0.7286949321315015,64
gemma,QUERY_TAIL_s1,AB,0.751953125,0.13671875,0.125,0.7903645833333333,0.784375,0.8521616838023087,64
gemma,QUERY_TAIL_s1,BA,0.7529296875,0.13802083333333334,0.125,0.7903645833333334,0.784375,0.8508596004689755,64
gemma,QUERY_TAIL_s1,ABC,0.6826171875,0.2633463541666667,0.046875,0.6803385416666666,0.7109375,0.695201261412199,64
gemma,QUERY_TAIL_s1,CBA,0.6881510416666667,0.25944010416666663,0.046875,0.6842447916666666,0.7171875000000001,0.6992258826243201,64
