actor,condition,acc_direct,acc_opposes,acc_same,acc_both,acc_either,direct_negation_changed,direct_negation_harm,direct_negation_all_correct,equality_changed,boolean_changed
gemma,SOURCE,0.7568359375,0.5185546875,0.2783203125,0.5244140625,0.6298828125,0.064453125,0.0,0.0234375,0.2783203125,0.1806640625
gemma,COUNTERFACTUAL,0.9873046875,0.9482421875,0.7939453125,0.9140625,0.9384765625,0.9521484375,0.00439453125,0.87109375,0.7939453125,0.8720703125
gemma,TEXT_CORRECTION,0.98876953125,0.97265625,0.779296875,0.935546875,0.943359375,1.0,0.015625,0.890625,0.779296875,0.94921875
gemma,SHARED_CLAUSE_s0,0.98291015625,0.951171875,0.8408203125,0.8994140625,0.916015625,0.9599609375,0.01220703125,0.85546875,0.8408203125,0.8916015625
gemma,SHARED_CLAUSE_s1,0.9541015625,0.951171875,0.7900390625,0.87890625,0.92578125,0.9677734375,0.04541015625,0.73828125,0.7900390625,0.865234375
gemma,SHARED_TAIL_s0,0.97509765625,0.9501953125,0.8076171875,0.90625,0.939453125,0.970703125,0.0283203125,0.78515625,0.8076171875,0.9365234375
gemma,SHARED_TAIL_s1,0.962890625,0.9267578125,0.8017578125,0.9052734375,0.9453125,0.9306640625,0.0283203125,0.75390625,0.8017578125,0.90234375
gemma,V1_SHARED_TAIL_s0,0.93115234375,0.9189453125,0.8193359375,0.900390625,0.9228515625,0.9345703125,0.0673828125,0.68359375,0.8193359375,0.8740234375
gemma,V1_SHARED_TAIL_s1,0.89990234375,0.83984375,0.763671875,0.884765625,0.87890625,0.8291015625,0.08251953125,0.47265625,0.763671875,0.7998046875
gemma,QUERY_CLAUSE_s0,0.98388671875,0.95703125,0.8701171875,0.9189453125,0.9296875,0.97265625,0.01611328125,0.85546875,0.8701171875,0.94140625
gemma,QUERY_CLAUSE_s1,0.9775390625,0.96484375,0.8388671875,0.8759765625,0.966796875,0.9638671875,0.01513671875,0.84765625,0.8388671875,0.8701171875
gemma,QUERY_TAIL_s0,0.96142578125,0.9267578125,0.81640625,0.916015625,0.9345703125,0.8974609375,0.01611328125,0.7421875,0.81640625,0.8818359375
gemma,QUERY_TAIL_s1,0.96142578125,0.9228515625,0.8330078125,0.9169921875,0.935546875,0.91796875,0.025390625,0.7265625,0.8330078125,0.8837890625
gemma,V1_LATE_s0,0.6689453125,0.7021484375,0.740234375,0.455078125,0.70703125,0.794921875,0.36767578125,0.078125,0.740234375,0.591796875
gemma,V1_LATE_s1,0.658203125,0.7158203125,0.765625,0.6806640625,0.6630859375,0.8876953125,0.41796875,0.10546875,0.765625,0.8583984375
